n,dataset_idx,num_columns,mse,abse,bool_error,trial,gaussian_imse
2000,0,37.0,0.9169491685013088,0.7463462075762625,0.5788333333333333,0,-1.0
2000,1,36.0,0.9096834933313288,0.7467416047079508,0.5785,0,-1.0
2000,2,35.0,0.9281903956052112,0.7472689792062506,0.585,0,-1.0
2000,3,30.0,1.04399428128236,0.7649921021248207,0.5678333333333333,0,-1.0
2000,4,27.0,1.2236336255809286,0.7337914809713529,0.5605,0,-1.0
2000,agg,,0.8658413527392304,0.7206221449537388,0.5561666666666667,0,-1.0
2000,naive_agg,,0.8756007072440395,0.7235444567429786,0.5535,0,-1.0
2000,opt_naive_agg,,0.8728274818791809,0.7208142962169628,0.5545,0,-1.0
2000,imputed_baseline,,0.8716988286299261,0.7235410153592365,0.5626666666666666,0,-1.0
2000,rw_imputed_baseline,,0.8685549780294219,0.7218784440511631,0.5598333333333333,0,-1.0
2000,0,37.0,0.9174972230955696,0.7425779592563249,0.5723333333333334,1,-1.0
2000,1,36.0,0.918454380056991,0.7440701053036438,0.5838333333333333,1,-1.0
2000,2,35.0,1.0455383208989102,0.7560615096564834,0.6013333333333334,1,-1.0
2000,3,30.0,1.7948253770234,0.7689899213760677,0.5713333333333334,1,-1.0
2000,4,27.0,1.99018915691234,0.7599446858337545,0.5626666666666666,1,-1.0
2000,agg,,0.884405295673069,0.7244631579082985,0.5641666666666667,1,-1.0
2000,naive_agg,,0.9338478930439664,0.7319680762544628,0.5628333333333333,1,-1.0
2000,opt_naive_agg,,0.939637424438639,0.7277281808538206,0.5613333333333334,1,-1.0
2000,imputed_baseline,,0.8682229407078632,0.721981691512526,0.5671666666666667,1,-1.0
2000,rw_imputed_baseline,,0.8725337228367314,0.7242062736917396,0.5705,1,-1.0
2000,0,37.0,0.9035009129875178,0.7410614720335192,0.58,2,-1.0
2000,1,36.0,0.9207150274112724,0.7539293599239066,0.5886666666666667,2,-1.0
2000,2,35.0,3.561191568902368,1.0614613581367751,0.6033333333333334,2,-1.0
2000,3,30.0,0.9189779890021385,0.7464292216501719,0.5608333333333333,2,-1.0
2000,4,27.0,0.8710779082052886,0.7247924446590951,0.5588333333333333,2,-1.0
2000,agg,,0.8881533197499242,0.7351478912864231,0.57,2,-1.0
2000,naive_agg,,0.9669023924357752,0.7655677406891003,0.57,2,-1.0
2000,opt_naive_agg,,0.8628550100912289,0.7204569989413333,0.5578333333333333,2,-1.0
2000,imputed_baseline,,0.8631467081836608,0.7193147548125111,0.5603333333333333,2,-1.0
2000,rw_imputed_baseline,,0.8701759513575813,0.7242825558010141,0.5648333333333333,2,-1.0
2000,0,37.0,0.9265026594419756,0.748567366725305,0.578,3,-1.0
2000,1,36.0,2.8126357015565286,0.7734051804291048,0.5798333333333333,3,-1.0
2000,2,35.0,2.280300797437834,0.782331753944817,0.5936666666666667,3,-1.0
2000,3,30.0,0.99386082420516,0.778619033827536,0.587,3,-1.0
2000,4,27.0,0.973602854858402,0.7223670780818238,0.5545,3,-1.0
2000,agg,,0.8809937880698999,0.7228489624910196,0.5593333333333333,3,-1.0
2000,naive_agg,,0.866196282909447,0.7184073441384614,0.5491666666666667,3,-1.0
2000,opt_naive_agg,,0.8695232481008851,0.7191281398486905,0.5498333333333333,3,-1.0
2000,imputed_baseline,,0.8631422392801261,0.719084712898529,0.5588333333333333,3,-1.0
2000,rw_imputed_baseline,,0.8703335873048439,0.722910484832837,0.5603333333333333,3,-1.0
2000,0,37.0,0.8931913324009727,0.7338052950748448,0.5731666666666667,4,-1.0
2000,1,36.0,0.9168609657901092,0.7527799143170869,0.5875,4,-1.0
2000,2,35.0,0.923971007700762,0.7427644282514794,0.5756666666666667,4,-1.0
2000,3,30.0,1.0395803328328623,0.7548806295464565,0.5651666666666667,4,-1.0
2000,4,27.0,0.8637465328949984,0.7203431170726761,0.5571666666666667,4,-1.0
2000,agg,,0.874207924256499,0.724658040601437,0.5603333333333333,4,-1.0
2000,naive_agg,,0.8721172689470902,0.7230179336690249,0.556,4,-1.0
2000,opt_naive_agg,,0.8674621256781414,0.7218526603651462,0.5571666666666667,4,-1.0
2000,imputed_baseline,,0.8645209060155881,0.7188958197329257,0.5596666666666666,4,-1.0
2000,rw_imputed_baseline,,0.8694439246341205,0.7227855579604638,0.5661666666666667,4,-1.0
2000,0,37.0,0.9124899290406088,0.7434680568397339,0.5816666666666667,5,-1.0
2000,1,36.0,1.0088121711001037,0.7441250198261317,0.5833333333333334,5,-1.0
2000,2,35.0,0.9956272373134952,0.7566639876607255,0.5791666666666667,5,-1.0
2000,3,30.0,1.1467425845162638,0.7738201407902121,0.5745,5,-1.0
2000,4,27.0,0.8662090751173573,0.7182420814234068,0.5626666666666666,5,-1.0
2000,agg,,0.8689695663940242,0.7220723284674294,0.561,5,-1.0
2000,naive_agg,,0.8750556601266729,0.7243625257885232,0.5573333333333333,5,-1.0
2000,opt_naive_agg,,0.8645805308406274,0.7182367604189421,0.5591666666666667,5,-1.0
2000,imputed_baseline,,0.8616999172907641,0.7194534792938462,0.5625,5,-1.0
2000,rw_imputed_baseline,,0.8611373636821882,0.71896982166457,0.562,5,-1.0
2000,0,37.0,0.9269916406321976,0.7506099036287294,0.5825,6,-1.0
2000,1,36.0,1.8172136676711736,0.7594027028344799,0.5761666666666667,6,-1.0
2000,2,35.0,0.908451319954861,0.7419070254237015,0.581,6,-1.0
2000,3,30.0,1.1363304445984164,0.7488406477982322,0.5605,6,-1.0
2000,4,27.0,0.9851219116317969,0.7355415208859646,0.5645,6,-1.0
